data_dir,model_dir,RSEED,sigmaobs,nobs,deltaobs,sigmainit,nens,ferr,infl_nlin,f_all,a_all,f_10,a_10,f_30,a_30
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535575370.627.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,522.0,0.9,200.0,0.1,1.3,100.0,1.0,1.0,3.3936177750737344,4.553955031677762,1.5127536473379182,1.3150520393331695,4.021045018284688,5.614759855488816
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535575593.848.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,522.0,0.9,200.0,0.1,1.3,100.0,1.0,1.0,3.3936177750737344,4.553955031677762,1.5127536473379182,1.3150520393331695,4.021045018284688,5.614759855488816
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576380.635.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.3,1.4,3.3919888002151906,6.13172639257949,1.3403953052680155,1.2836504717554902,4.103037503555584,7.479524459043675
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576379.445.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.3,1.3,3.399232256310317,5.933718306498315,1.5732967925873742,1.7213804799966632,4.154154889494822,7.540067710345425
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576379.474.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.3,1.1,3.6996569358953617,7.584215220348157,1.789806696419285,1.6918360443159002,4.310854942322265,8.859156026452396
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576381.412.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.4,1.2,3.4382388940467505,6.2087836918164525,1.4006839299390537,1.2698923738100711,4.217477803245906,8.016352461585129
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576386.817.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.2,1.4,3.2756440226898884,4.859689554045357,1.2465898249223375,1.1990616879761289,4.060514730564574,6.3456382054784575
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576381.416.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.4,1.0,3.5134700181206235,7.422151279601811,1.4892169330120848,1.2996257596083656,4.2505412118942205,8.907821797691097
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576379.443.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.3,1.2,3.4429331676819217,6.755206321080338,1.856714166732768,1.850617968573637,4.032208058233136,8.154324312925299
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576381.414.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.4,1.1,3.518891343840448,7.062345239342627,1.5739923328368823,1.5372584148805637,4.253169397267955,8.633205139780186
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576386.701.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.2,1.1,3.5089448380920047,5.933836657117299,1.5222674370784497,1.4868010164466177,4.265431533051119,7.266756816395455
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576381.414.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.4,0.9,3.537586177532277,7.585977430610349,1.743163927734844,1.6504313424237669,4.1775189663388845,8.966143940971202
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576386.715.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.2,1.2,3.566064689321567,6.258092326473691,1.626491930135452,1.6806037882531069,4.209798627840288,7.331611687329023
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576386.730.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.2,1.0,3.472084847127996,6.238839238441298,1.8049894639865425,2.04689916083848,4.066222390323918,7.343199689335767
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576381.345.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.4,0.7,3.661288444630306,8.466885688809317,1.8564098047917703,1.871761321665539,4.263700877025934,9.95706818396024
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576386.611.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.1,0.9,3.6085961998420686,6.617124117312084,1.8852354743265032,2.2604585371483985,4.393042214428938,8.501651118872648
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576381.347.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.4,0.8,3.6556047599528982,8.329575478653576,1.7970219950729085,1.7296062065146274,4.290782105974624,9.826393512154617
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576383.302.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.0,0.8,3.7820020226027937,7.012692845296503,2.0904016929521885,2.130255774287372,4.526581665550472,8.52682566124067
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576381.346.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.4,0.6,3.759583028851553,8.854518052090771,2.0339336027640247,2.0115054400710948,4.317597175164684,10.433750517760807
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576386.431.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.0,1.4,3.5018398662687744,5.799266842918732,1.8093862206258424,1.8497021856289568,4.310519476103981,8.113829519619403
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576386.735.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.2,1.3,3.406629767278757,5.984435683957957,1.6177962256687233,1.6044693477189191,4.157756485288398,7.629559220427822
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576384.416.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.0,0.9,3.6922144450426826,6.978880451120232,2.0140636901406044,2.098225060747843,4.396256756609437,8.576536285271363
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576386.618.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.1,1.1,3.474654972186712,6.106464800612304,2.0308157966361726,2.1885585460963517,4.181956267146092,7.748829856158001
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576381.350.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.4,0.5,3.812743411231333,9.485309626514198,2.1269849534497767,2.1929546780197358,4.340512221640194,11.179871419224938
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576386.850.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.3,1.0,3.5902443164067064,7.819479301685837,1.6284743832398767,1.5799557164804685,4.328753085964841,9.302641509108128
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576384.486.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.0,1.0,3.6341086651743577,7.426095338362006,1.8256879678991265,2.0172143862480514,4.356613567082608,9.248096818909104
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576386.912.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.3,0.9,3.6355461910141353,7.588937707834392,1.7810483856064685,1.7746883457530127,4.266622347252803,8.961709702393042
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535576386.847.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,215.0,0.9,200.0,0.1,1.3,100.0,0.2,0.6,3.7630986197213567,8.753716620479544,2.0815826407045948,2.1284730076576985,4.302917643739706,10.10016099571554
