dir,RSEED,sigmaobs,nobs,mae,acc
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563646.488.h5,215.0,0.9,2000.0,3.4679843521118165,0.85
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,217.0,0.5,2000.0,3.4737864685058595,0.845
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,217.0,0.3,2000.0,3.485398654937744,0.86
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,217.0,0.9,2000.0,3.562865781784057,0.8175
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,217.0,0.1,2000.0,3.4314228439331056,0.87
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,217.0,0.4,2000.0,3.412648200988768,0.8525
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,217.0,0.0,2000.0,3.4493814277648926,0.8775
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,217.0,0.2,2000.0,3.4743951988220214,0.86
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,217.0,0.7,2000.0,3.54557186126709,0.84
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,216.0,2.0,2000.0,3.9326007843017576,0.79
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,217.0,0.8,2000.0,3.6134916019439696,0.8425
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,217.0,0.6,2000.0,3.5031711864471435,0.85
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,216.0,1.9,2000.0,3.9628914070129393,0.8025
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563959.907.h5,217.0,1.7,2000.0,3.867518482208252,0.8425
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563959.988.h5,218.0,0.0,2000.0,3.3445294857025147,0.84
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563959.907.h5,217.0,1.5,2000.0,3.7445329284667968,0.82
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563959.874.h5,217.0,1.1,2000.0,3.628100700378418,0.84
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563959.988.h5,217.0,2.0,2000.0,3.9250892448425287,0.8225
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563960.433.h5,217.0,1.2,2000.0,3.661341171264648,0.83
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563959.907.h5,217.0,1.4,2000.0,3.702512559890747,0.8175
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563960.468.h5,217.0,1.6,2000.0,3.757219409942627,0.835
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563959.989.h5,217.0,1.8,2000.0,3.914905662536621,0.85
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563917.806.h5,215.0,0.0,2000.0,3.3569891548156736,0.8825
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,215.0,0.1,2000.0,3.363903398513794,0.88
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,215.0,0.3,2000.0,3.379260501861572,0.87
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,216.0,1.0,2000.0,3.7523811054229737,0.8075
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,215.0,0.7,2000.0,3.4217515087127683,0.8575
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,216.0,1.8,2000.0,4.070179481506346,0.805
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,216.0,1.4,2000.0,3.9541289329528815,0.83
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,216.0,0.6,2000.0,3.6282923126220714,0.82
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,215.0,1.5,2000.0,3.640923261642456,0.8325
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,215.0,1.7,2000.0,3.6978656387329103,0.8325
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,215.0,1.9,2000.0,3.7830041313171385,0.825
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,216.0,0.2,2000.0,3.764963779449463,0.8625
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,215.0,1.1,2000.0,3.5131598281860352,0.85
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,216.0,0.0,2000.0,3.7509593868255617,0.8775
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,215.0,0.5,2000.0,3.395085573196411,0.8675
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,215.0,1.0,2000.0,3.5088689327239986,0.845
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,215.0,0.2,2000.0,3.37007532119751,0.875
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,216.0,0.5,2000.0,3.5828497505187986,0.8275
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,216.0,0.4,2000.0,3.75622085571289,0.86
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,216.0,0.8,2000.0,3.6762363243103033,0.815
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,216.0,1.6,2000.0,3.922553997039795,0.8075
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535563925.290.h5,216.0,1.3,2000.0,4.000088806152344,0.8275
